Number,Position,Nation,Player,Height
1,GK,BEL,Thibaut Courtois,1.99
2,DF,ESP,Dani Carvajal,1.73
3,DF,BRA,Éder Militão,1.86
4,DF,ESP,Sergio Ramos,1.84
5,DF,FRA,Raphaël Varane,1.91
6,DF,ESP,Nacho,1.80
7,FW,BEL,Eden Hazard,1.75
8,MF,GER,Toni Kroos,1.83
9,FW,FRA,Karim Benzema,1.85
10,MF,CRO,Luka Modrić,1.72
11,FW,ESP,Marco Asensio,1.82
12,DF,BRA,Marcelo,1.74
13,GK,UKR,Andriy Lunin,1.92
14,MF,BRA,Casemiro,1.85
15,MF,URU,Federico Valverde,1.82
17,FW,ESP,Lucas Vázquez,1.73
18,FW,SRB,Luka Jović,1.82
19,DF,ESP,Álvaro Odriozola,1.76
20,FW,BRA,Vinícius Júnior,1.76
21,MF,NOR,Martin Ødegaard,1.78
22,MF,ESP,Isco,1.76
23,DF,FRA,Ferland Mendy,1.80
24,FW,DOM,Mariano,1.80
25,FW,BRA,Rodrygo,1.74